10-digit PSGC,Name,Geographic Level
1380604015,Barangay 282,Bgy
1380604016,Barangay 283,Bgy
1380604017,Barangay 284,Bgy
1380604018,Barangay 285,Bgy
1380604019,Barangay 286,Bgy
1380605000,Santa Cruz,SubMun
1380605001,Barangay 297,Bgy
1380605002,Barangay 298,Bgy
1380605003,Barangay 299,Bgy
1380605004,Barangay 300,Bgy
1380605005,Barangay 301,Bgy
1380605006,Barangay 302,Bgy
1380605007,Barangay 303,Bgy
1380605008,Barangay 304,Bgy
1380605009,Barangay 305,Bgy
1380605012,Barangay 310,Bgy
1380605013,Barangay 311,Bgy
1380605014,Barangay 312,Bgy
1380605015,Barangay 313,Bgy
1380605016,Barangay 314,Bgy
1380605017,Barangay 315,Bgy
1380605018,Barangay 316,Bgy
1380605019,Barangay 317,Bgy
1380605020,Barangay 318,Bgy
1380605021,Barangay 319,Bgy
1380605022,Barangay 320,Bgy
1380605023,Barangay 321,Bgy
1380605024,Barangay 322,Bgy
1380605025,Barangay 323,Bgy
1380605026,Barangay 324,Bgy
1380605027,Barangay 325,Bgy
1380605028,Barangay 326,Bgy
1380605029,Barangay 327,Bgy
1380605030,Barangay 328,Bgy
1380605031,Barangay 329,Bgy
1380605032,Barangay 330,Bgy
1380605033,Barangay 331,Bgy
1380605034,Barangay 332,Bgy
1380605035,Barangay 333,Bgy
1380605036,Barangay 334,Bgy
1380605037,Barangay 335,Bgy
1380605038,Barangay 336,Bgy
1380605039,Barangay 337,Bgy
1380605040,Barangay 338,Bgy
1380605041,Barangay 339,Bgy
1380605042,Barangay 340,Bgy
1380605043,Barangay 341,Bgy
1380605044,Barangay 342,Bgy
1380605045,Barangay 343,Bgy
1380605046,Barangay 344,Bgy
1380605047,Barangay 345,Bgy
1380605048,Barangay 346,Bgy
1380605049,Barangay 347,Bgy
1380605050,Barangay 348,Bgy
1380605051,Barangay 349,Bgy
1380605052,Barangay 350,Bgy
1380605053,Barangay 351,Bgy
1380605054,Barangay 352,Bgy
1380605055,Barangay 353,Bgy
1380605056,Barangay 354,Bgy
1380605057,Barangay 355,Bgy
1380605058,Barangay 356,Bgy
1380605059,Barangay 357,Bgy
1380605060,Barangay 358,Bgy
1380605061,Barangay 359,Bgy
1380605062,Barangay 360,Bgy
1380605063,Barangay 361,Bgy
1380605064,Barangay 362,Bgy
1380605065,Barangay 363,Bgy
1380605066,Barangay 364,Bgy
1380605067,Barangay 365,Bgy
1380605069,Barangay 366,Bgy
1380605070,Barangay 367,Bgy
1380605071,Barangay 368,Bgy
1380605072,Barangay 369,Bgy
1380605073,Barangay 370,Bgy
1380605074,Barangay 371,Bgy
1380605075,Barangay 372,Bgy
1380605076,Barangay 373,Bgy
1380605077,Barangay 374,Bgy
1380605078,Barangay 375,Bgy
1380605079,Barangay 376,Bgy
